Clave,Base,Subgerencia,Área Patrimonio,EESS,Geo Ref,Geográfica,Dotación,F. de Combate,UTM (X) epsg:32518,UTM (Y) epsg:32518,Geo Lat.,Geo Lon.,Región,Comuna,Tipo
315,Cañete,Norte,Cañete,Serfonac,HO 1542 D,Cañete,14,10,641026.36,5814827.4,"37º 48' 11"" ","73º 23' 53""",Biobio,Cañete,TERRESTRE
711,Cholchol,Sur,Carahue,Serfonac,IS 2392 C,4.26 km SE Chol Chol,14,10,691960.24,5722992.44,"38° 37' 14""","72° 47' 41""",Araucania,Cholchol,TERRESTRE
713,Cholchol,Sur,Carahue,Serfonac,IS 2392 C,4.26 km SE Chol Chol,6,4,691960.24,5722992.44,"38° 37' 14""","72° 47' 41""",Araucania,Cholchol,CISTERNA
414,Cholguan,Norte,Los Angeles,Serfonac,GP 8360 C,6.4 km SW Yungay,14,10,759953.34,5882654.51,"37º 09' 59"" ","72º 04' 20""",Ñuble,Yungay,TERRESTRE
316,Contulmo,Norte,Cañete,Serfonac,HY 9156 A,Contulmo,14,10,656287.37,5791518.34,"38 °00' 37""","73° 13' 10""",Biobio,Contulmo,TERRESTRE
215,Empedrado,Norte,Talca,Indef,DO 5946 B,Empedrado,14,10,752981.69,6054265.38,"35° 37' 22""","72° 12' 23""",Maule,Empedrado,TERRESTRE
517,Junquillar ,Norte,Nacimiento,Cerda,HR1500 C,0.85 Km al W Angol,17,12,699112.03,5814675.16,"37° 47' 27""","72° 44' 19""",Araucania,Angol,HELITRANSPORTADA
519,Tijeral,Norte,Nacimiento,Cerda,HR 1908 B,2.6 Km al SW Tijeral,17,12,708724.32,5818261.67,"37° 45' 33""","72° 37' 50""",Araucania,Angol,MECANIZADA
214,Las Cañas,Norte,Talca,Indef,DG 7136 D,17 Km S de Constitución,14,10,735927.79,6070245.79,"35º 29' 00"" ","72º 23' 58""",Maule,Constitución,TERRESTRE
314,María Dolores,Norte,Los Angeles,Serfonac,GX 5928 C,Aeródromo María Dolores,17,12,728099.06,5858499.85,"37° 23' 32""","72º 25' 24""",Biobio,Los Ángeles,HELITRANSPORTADA
313,María Dolores,Norte,Los Angeles,Serfonac,GX 5928 C,Aeródromo María Dolores,6,4,728099.06,5858499.85,"37° 23' 32""","72º 25' 24""",Biobio,Los Ángeles,CISTERNA
216,Metropolitana,Norte,Talca,Indef,-,Santiago,10,8,911438.4,6269421.94,"33° 38' 07"" ","70° 33' 54""",Metropolitana,Santiago,TERRESTRE
416,Millantu,Norte,Laja,Serfonac,GW5712D,Millantu,14,10,711342.26,5857645.51,"37º 24' 13"" ","72º 36' 43""",Biobio,Laja,TERRESTRE
712,Nueva Imperial,Sur,Cautin,Serfonac,IS 0978 A,Nueva Imperial,14,10,704647.95,5681386.53,"38° 44' 53""","72° 56' 57""",Araucania,Nueva Imperial,TERRESTRE
212,Pan de Azúcar,Norte,Talca,Indef,DQ 5374 D,23 Km W de San Javier,17,12,773436.57,6053598.77,"35° 37' 25""","71° 58' 51""",Maule,San Javier,HELITRANSPORTADA
211,Pan de Azúcar,Norte,Talca,Indef,DQ 5374 D,23 Km W de San Javier,6,4,773436.57,6053598.77,"35° 37' 25""","71° 58' 51""",Maule,San Javier,CISTERNA
219,Pan de Azúcar,Norte,Talca,Indef,DQ 5374 D,23 Km W de San Javier,1,1,773436.57,6053598.77,"35° 37' 25""","71° 58' 51""",Maule,San Javier,MECANIZADA
213,Pencahue,Norte,Talca,Indef,DI 7990 B,Pencahue,14,10,790177.71,6078832.95,"35° 23' 29"" ","71°48'18""""",Maule,Pencahue,TERRESTRE
312,Pinares,Norte,Laja,Serfonac,GA 1374 D,9 km SE de San Pedro de la Paz,14,10,673159.12,5913902.18,"36°54'18"" ","73º 03' 23""",Biobio,San Pedro de la Paz,TERRESTRE
612,San Antonio,Sur,Collipulli,Safco,HS 9726 A,1 km al NE de Collipulli,17,12,726788.53,5797515.41,"37° 56' 27""","72º 25' 08""",Araucania,Collipulli,HELITRANSPORTADA
614,San Antonio,Sur,Collipulli,Safco,HS 9726 A,1 km al NE de Collipulli,14,10,726788.53,5797515.41,"37° 56' 27""","72º 25' 08""",Araucania,Collipulli,TERRESTRE
611,San Antonio,Sur,Collipulli,Safco,HS 9726 A,1 km al NE de Collipulli,6,4,726788.53,5797515.41,"37° 56' 27""","72º 25' 08""",Araucania,Collipulli,CISTERNA
514,San Oscar,Sur,Carahue,Cerda,IH 5954 A,24 km al SW de Cap. Pastene,14,10,654741.56,5759109.02,"38º 18' 08"" ","73º 13' 48""",Araucania,Lumaco,TERRESTRE
515,San Oscar,Sur,Carahue,Cerda,IH 5954 A,24 km al SW de Cap. Pastene,14,10,654741.56,5759109.02,"38º 18' 09"" ","73º 13' 48""",Araucania,Lumaco,TERRESTRE
516,San Oscar,Sur,Carahue,Cerda,IH 5954 A,24 km al SW de Cap. Pastene,6,4,654741.56,5759109.02,"38º 18' 09"" ","73º 13' 48""",Araucania,Lumaco,CISTERNA
417,Talcamavida,Norte,Laja,Serfonac,GM 8390 B,4.8 km SE de Talcamavida,17,12,685704.25,5885197.99,"37° 09' 40""","72° 54' 30""",Biobio,Hualqui,HELITRANSPORTADA
415,Talcamavida,Norte,Laja,Serfonac,GM 8586 D,Talcamávida,14,10,685704.25,5885197.99,"37° 09' 40""","72° 54' 30""",Biobio,Hualqui,TERRESTRE
512,Tijeral,Norte,Nacimiento,Cerda,HR 1908 B,2.6 Km al SW Tijeral,17,12,708724.32,5818261.67,"37° 45' 33""","72° 37' 50""",Araucania,Angol,HELITRANSPORTADA
511,Junquillar ,Norte,Nacimiento,Cerda,HR1500 C,0.85 Km al W Angol,1,1,699112.03,5814675.16,"37° 47' 27""","72° 44' 19""",Araucania,Angol,CISTERNA
318,Tralpenes,Norte,Nacimiento,Serfonac,HG 4510 D,3.5 km  al E de Nacimiento,17,12,709953.88,5845528.14,"37° 30' 47"""" ","72º 37' 28""",Biobio,Nacimiento,HELITRANSPORTADA
311,Tralpenes,Norte,Nacimiento,Serfonac,HG 4510 D,3.5 km  al E de Nacimiento,6,4,709953.88,5845528.14,"37° 30' 47"""" ","72º 37' 28""",Biobio,Nacimiento,CISTERNA
319,Tralpenes,Norte,Nacimiento,Serfonac,HG 4510 D,3.5 km  al E de Nacimiento,1,1,709953.88,5845528.14,"37° 30' 47"""" ","72º 37' 28""",Biobio,Nacimiento,MECANIZADA
412,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,17,12,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,HELITRANSPORTADA
411,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,6,4,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,CISTERNA
419,Trilahue,Norte,Los Angeles,Serfonac,GO 8730 C,10 km al S de Cabrero,1,1,729756.84,5886710.96,"37° 08' 16""","72° 24' 48""",Biobio,Cabrero,MECANIZADA
615,Victoria,Sur,Victoria,Safco,IB 6534 D,Victoria,14,10,733543.09,5765144.5,"38° 13' 52""","72° 19' 54""",Araucania,Victoria,TERRESTRE
3110,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,23 km  al SO de Nacimiento,14,10,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,TERRESTRE
811,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,2.3 km  al SO de Nacimiento,5,3,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,Interfaz
812,Villa La Suerte,Norte,Nacimiento,Serfonac,HG 4504 C,2.3 km  al SO de Nacimiento,5,3,703881.79,5844602.81,"37° 31' 22"" ","72º 41' 34""",Biobio,Nacimiento,Interfaz
613,Villa Mulchén,Sur,Mulchen,Safco,HI 2142 C,0.82 Km SW de Mulchén,14,10,741026.49,5820619.42,"37° 43' 47""","72° 15' 52""",Biobio,Mulchen,TERRESTRE
413,Yumbel,Norte,Los Angeles,Serfonac,GN 8522 D,8 Km al SE Yumbel,14,10,722302.33,5885544.29,"37º 09' 02"" ","72º 30' 20""",Biobio,Yumbel,TERRESTRE

