id	ID_RECURSO	TIPO_RECURSO	HORAS_DE_TRABAJO_RECURSO	LATITUD_RECURSO	LONGITUD_RECURSO	ID_ESTADO_RECURSO	ID_ASIGNADO_INCENDIO	BOOL_ESTA_AGRUPADO_RECURSO	TIMESTAMP_A_INCENDIO
0	LJ9052	TERRESTRE	0	-37.52277778	-72.69277778	1	-1	1	2021-01-20T14:24
1	LJ9052	TERRESTRE	15	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:20
2	CHBV63	TERRESTRE	13	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:25
3	WK5889	TERRESTRE	16.2	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:22
4	311	CISTERNA	2.2	-37.51305556	-72.62444444	1	-1	1	2021-01-20T15:30
5	511	CISTERNA	4.3	-37.75916667	-72.63055556	1	-1	1	2021-01-20T16:05
6	611	CISTERNA	18.6	-37.94083333	-72.41888889	1	-1	1	2021-01-20T16:11
7	313	CISTERNA	3.3	-37.39222222	-72.42333333	1	-1	1	2021-01-20T17:15
8	713	CISTERNA	16.2	-38.62055556	-72.79472222	1	-1	1	2021-01-20T19:18
9	Z6	CISTERNAAEREA	1.6	-37.79611111	-72.68638889	1	-1	1	2021-01-20T14:31
10	W5	CISTERNAAEREA	0.1	-37.18	-72.85416667	1	-1	1	2021-01-20T14:23
11	W10	CISTERNAAEREA	2.9	-37.79611111	-72.68638889	1	-1	1	2021-01-20T14:38
12	W2	CISTERNAAEREA	7.2	-37.51305556	-72.62444444	1	-1	1	2021-01-20T14:31
13	Z3	CISTERNAAEREA	1.3	-37.39333333	-72.42416667	1	-1	1	2021-01-20T14:33
14	Z8	CISTERNAAEREA	1.3	-37.39333333	-72.42416667	1	-1	1	2021-01-20T14:35
15	Z9	CISTERNAAEREA	2.1	-37.79611111	-72.68638889	1	-1	1	2021-01-20T14:34
16	Z5	CISTERNAAEREA	2.9	-37.79611111	-72.68638889	1	-1	1	2021-01-20T14:37
17	W3	CISTERNAAEREA	7.3	-37.75916667	-72.63055556	1	-1	1	2021-01-20T14:32
18	W4	CISTERNAAEREA	6.3	-37.94	-72.41805556	1	-1	1	2021-01-20T14:41
19	W9	CISTERNAAEREA	1.6	-37.13777778	-72.41333333	1	-1	1	2021-01-20T14:43
20	W8	CISTERNAAEREA	6	-37.75916667	-72.63055556	1	-1	1	2021-01-20T14:46
21	Z7	CISTERNAAEREA	3.1	-37.12833333	-72.4125	1	-1	1	2021-01-20T14:40
22	Z1	CISTERNAAEREA	2.8	-37.12833333	-72.4125	1	-1	1	2021-01-20T14:51
23	318	HELITRANSPORTADA	10.4	-37.51305556	-72.62444444	1	-1	1	2021-01-20T14:23
24	417	HELITRANSPORTADA	0.1	-37.16111111	-72.90833333	1	-1	1	2021-01-20T14:30
25	512	HELITRANSPORTADA	10.6	-37.75916667	-72.63055556	1	-1	1	2021-01-20T14:37
26	612	HELITRANSPORTADA	10.4	-37.94083333	-72.41888889	1	-1	1	2021-01-20T14:46
27	314	HELITRANSPORTADA	0.3	-37.39222222	-72.42333333	1	-1	1	2021-01-20T14:54
28	517	HELITRANSPORTADA	9.8	-37.79083333	-72.73861111	1	-1	1	2021-01-20T14:49
29	319	MECANIZADA	10.3	-37.51305556	-72.62444444	1	-1	1	2021-01-20T15:29
30	DGFX16	MECANIZADA	9.8	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:47
31	615	TERRESTRE	0.1	-38.23111111	-72.33166667	1	-1	1	2021-01-20T14:29
32	SER21	TERRESTRE	10.1	-37.52277778	-72.69277778	1	-1	1	2021-01-20T14:54
33	SER22	TERRESTRE	13	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:06
34	SER44	TERRESTRE	13.4	-37.52277778	-72.69277778	1	-1	1	2021-01-20T14:58
35	SAF11	TERRESTRE	10	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:41
36	3110	TERRESTRE	4.5	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:41
37	SER45	TERRESTRE	13.6	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:45
38	AGF13	TERRESTRE	12	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:52
39	IND11	TERRESTRE	13.3	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:49
40	IND15	TERRESTRE	13.3	-37.52277778	-72.69277778	1	-1	1	2021-01-20T16:01
41	613	TERRESTRE	4.6	-37.72972222	-72.26444444	1	-1	1	2021-01-20T15:57
42	SER48	TERRESTRE	15.2	-37.52277778	-72.69277778	1	-1	1	2021-01-20T15:58
43	413	TERRESTRE	15	-37.15055556	-72.50555556	1	-1	1	2021-01-20T16:10
44	CUM14	TERRESTRE	9.4	-37.52277778	-72.69277778	1	-1	1	2021-01-20T16:18
45	316	TERRESTRE	15	-38.01027778	-73.21944444	1	-1	1	2021-01-20T17:09
46	315	TERRESTRE	14.6	-37.80305556	-73.39805556	1	-1	1	2021-01-20T17:23
47	712	TERRESTRE	14.6	-38.74805556	-72.94916667	1	-1	1	2021-01-20T18:56