id,tipo,lat,lon,costoTransporte,costoUso,velocidadPromedio
BHM212,helitransportada,-35.62361387,-71.98088225,4000,14,180
BHM314,helitransportada,-37.39226036,-72.42342975,4000,14,180
BHM318,helitransportada,-37.51370106,-72.62504169,4000,14,180
BHM412,helitransportada,-37.13861712,-72.41367109,4000,14,180
BHM417,helitransportada,-37.133611,-72.932778,4000,14,180
BHM512,helitransportada,-37.75927668,-72.63041181,4000,14,180
BHM612,helitransportada,-37.94038266,-72.41824345,4000,14,180
BM213,tipo 1,-35.39167367,-71.80555987,35,14,60
BM214,tipo 1,-35.59123935,-72.27852037,35,14,60
BM312,tipo 1,-36.90584595,-73.05658854,35,14,60
BM315,tipo 1,-37.52340409,-72.6928103,35,14,60
BM316,tipo 1,-37.75971462,-72.62976373,35,14,60
BM3110,tipo 1,-37.40389014,-72.61230194,35,14,60
BM414,tipo 1,-37.16636455,-72.07229829,35,14,60
BM415,tipo 1,-37.16289068,-72.90696647,35,14,60
BM416,tipo 1,-37.40389014,-72.61230194,35,14,60
BM513,tipo 1,-37.78687917,-72.47044807,35,14,60
BM514,tipo 1,-37.98290556,-72.82909499,35,14,60
BM515,tipo 1,-37.97966734,-72.83670208,35,14,60
BM517,tipo 1,-37.75976473,-72.62964764,35,14,60
CM6111,tipo 1,-37.73000638,-72.26524131,35,14,60
BM613,tipo 1,-37.72992792,-72.26509308,35,14,60
BM614,tipo 1,-37.94199615,-72.41946717,35,14,60
BM615,tipo 1,-38.27992661,-72.40470071,35,14,60
BM616,tipo 1,-37.94199615,-72.41946717,35,14,60
BM713,tipo 1,-38.7510565,-72.94336698,35,14,60
BM714,tipo 1,-38.20356074,-72.9982466,35,14,60
BM715,tipo 1,-38.20356783,-72.99831618,35,14,60
CM211,tipo 2,-35.62354581,-71.98062424,35,14,60
BM215,tipo 2,-35.59123935,-72.27852037,35,14,60
CM311,tipo 2,-37.51347194,-72.62602489,35,14,60
CM411,tipo 2,-37.13783855,-72.41348145,35,14,60
BM413,tipo 2,-37.171461,-72.543259,35,14,60
CM511,tipo 2,-37.75971462,-72.62976373,35,14,60
BM516,tipo 2,-37.98112967,-72.8327113,35,14,60
BM518,tipo 2,-37.793647,-72.738337,35,14,60
CM611,tipo 2,-37.94185167,-72.41937751,35,14,60
CM711,tipo 2,-38.75109745,-72.9433855,35,14,60
CM3111,tipo 2,-37.39238058,-72.42289448,35,14,60
CM4111,tipo 2,-37.16205967,-72.90927337,35,14,60
CM5111,tipo 2,-37.78687917,-72.47044807,35,14,60
CM7111,tipo 2,-38.20361603,-72.99826004,35,14,60
SM219,mecanizada,-35.62348286,-71.98068147,100,80,50
SM319,mecanizada,-37.4038674,-72.61234457,100,80,50
SM419,mecanizada,-37.13787802,-72.41352091,100,80,50
SM519,mecanizada,-37.75970622,-72.62969354,100,80,50
SM619,mecanizada,-37.94184708,-72.41951028,100,80,50
SM6110,mecanizada,-37.72979718,-72.26527734,100,80,50
AM1,avion cisterna,-35.37910698,-71.60329923,4000,4000,290
AM2,avion cisterna,-35.87640234,-72.32643251,4000,4000,290
AM3,avion cisterna,-37.12883877,-72.41303096,4000,4000,290
AM4,avion cisterna,-37.12890735,-72.41255926,4000,4000,290
AM5,avion cisterna,-37.12852999,-72.41274661,4000,4000,290
AM6,avion cisterna,-37.39481776,-72.42486451,4000,4000,290
AM7,avion cisterna,-37.39477061,-72.42456125,4000,4000,290
AM8,avion cisterna,-37.39492321,-72.42450011,4000,4000,290
AM9,avion cisterna,-37.79729254,-72.68723828,4000,4000,290
AM10,avion cisterna,-37.7974064,-72.6869836,4000,4000,290
AM11,avion cisterna,-37.79747982,-72.68716194,4000,4000,290
HM1,helicoptero mediano,-35.62406981,-71.97986395,4000,4000,180
HM2,helicoptero mediano,-37.1385911,-72.41369809,4000,4000,180
HM3,helicoptero mediano,-37.133611,-72.932778,4000,4000,180
HM4,helicoptero mediano,-37.39223642,-72.42342244,4000,4000,180
HM5,helicoptero mediano,-37.51367396,-72.62506955,4000,4000,180
HM6,helicoptero mediano,-37.7592725,-72.63036708,4000,4000,180
HM7,helicoptero mediano,-37.9403203,-72.41824563,4000,4000,180
HM8,helicoptero grande,-37.12799315,-72.41340164,4000,4000,260
HM9,helicoptero grande,-37.39217113,-72.42340299,4000,4000,260
HM10,helicoptero grande,-37.79828577,-72.68739614,4000,4000,260
CM511N,tipo 2,-37.75971462,-72.62976373,35,14,60